order_id,order_date,customer_id,product_id,category,quantity,unit_price,discount,store_id,payment_method
10001,2026-07-01,C001,P001,Electronics,2,25000,0.05,S001,UPI
10002,2026-07-01,C002,P002,Home Appliances,1,18000,0.10,S002,Credit Card
10003,2026-07-02,C003,P003,Furniture,2,12000,0.05,S001,UPI
10004,2026-07-02,C001,P004,Electronics,1,45000,0.08,S003,Debit Card
10005,2026-07-03,C004,P005,Clothing,4,2500,0.10,S002,Cash
10006,2026-07-03,C005,P006,Electronics,1,55000,0.05,S001,Credit Card
10007,2026-07-04,C002,P007,Furniture,3,8500,0.07,S003,UPI
10008,2026-07-04,C003,P008,Clothing,2,3500,0.05,S002,UPI
10009,2026-07-05,C004,P009,Home Appliances,1,32000,0.12,S001,Debit Card
10010,2026-07-05,C005,P010,Electronics,2,15000,0.05,S003,Credit Card
10011,2026-07-06,C001,P011,Furniture,1,22000,0.10,S002,UPI
10012,2026-07-06,C002,P012,Clothing,5,1800,0.05,S001,Cash
10013,2026-07-07,C003,P013,Electronics,1,72000,0.08,S003,Credit Card
10014,2026-07-07,C004,P014,Home Appliances,2,12500,0.06,S002,UPI
10015,2026-07-08,C005,P015,Furniture,2,16500,0.05,S001,Debit Card
